"From","Line","Target","ExactExists","NameExists","FileName"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","1","1890  04b6bf87f6e77948  GERCEK_DURUM.md","False","False","1890  04b6bf87f6e77948  gercek_durum.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","2","18135  b07c2df16b84ab82  UX-FP V1/Decimal_FP_Sistemi.md","False","True","decimal_fp_sistemi.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","3","412  67348dbf365e8f49  build_all.bat","False","False","412  67348dbf365e8f49  build_all.bat"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","4","261  b267c042a054274a  build_final_compiler.bat","False","False","261  b267c042a054274a  build_final_compiler.bat"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","5","796  e2f59e5351bf53d6  build_one.bat","False","False","796  e2f59e5351bf53d6  build_one.bat"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","6","55825  90930d4342b3580b  compiler/uxm31_compiler_fb.bas","False","True","uxm31_compiler_fb.bas"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","7","1257  79143a1c78255324  final/UXM31_FINAL_ARGE_COMPILER.md","False","True","uxm31_fınal_arge_compıler.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","8","386  0c22761ee03bbb02  final/build_final.bat","False","True","build_final.bat"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","9","70  c60bea966d2ad0e2  final/examples/dynamic_data_address.uxm","False","True","dynamic_data_address.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","10","134  a4e4e008e9780a44  final/examples/final_probe.uxm","False","True","final_probe.uxm"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","11","64466  919d7db9ba573fb9  final/uxm31_compiler_final.bas","False","True","uxm31_compiler_final.bas"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","12","1207  283d1c01b3ef5bc4  gercek_durum.md","False","False","1207  283d1c01b3ef5bc4  gercek_durum.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","13","1347  b51cd76a1552aeb4  ide/uxminima-vscode/.github/copilot-instructions.md","False","True","copilot-instructions.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","14","310  09aa91d6c28bb262  ide/uxminima-vscode/.vscode/launch.json","False","True","launch.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","15","282  e87a999791290eb8  ide/uxminima-vscode/.vscode/tasks.json","False","True","tasks.json"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","16","1012  d13756e46860dc7a  ide/uxminima-vscode/README.md","False","True","readme.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","17","241  24a0a28dc72cbbf7  ide/uxminima-vscode/docs/UXM_EXAMPLES.md","False","True","uxm_examples.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","18","514  89568e105cdef1cc  ide/uxminima-vscode/docs/UXM_IDE_PROTOCOL.md","False","True","uxm_ıde_protocol.md"
"C:\Users\mete\Downloads\uxminima\calisilan\uxm31_FULL_FINAL_REAL\FILE_MANIFEST.txt","19","933  1c1404fb955bf480  ide/uxminima-vscode/docs/UXM_LANGUAGE_SPEC.md","False","True","uxm_language_spec.md"
