Chain,File,CurrentPaths,Durum,Kanonik mi,Kopya mi,Eksik mi,Legacy’ye mi gidecek,Notes
Compiler,uxm31_compiler_fb.bas,calisilan/uxm31_FULL_FINAL_REAL/uxm31_compiler_fb.bas; (other copies under repo),Exists (multiple copies),No (not in uxm/ planned path),Yes (duplicates found ~10),No,No,Planned canonical: uxm/core/compiler/native/uxm31_compiler_fb.bas
Compiler,final/uxm31_compiler_final.bas,calisilan/uxm31_FULL_FINAL_REAL/final/uxm31_compiler_final.bas,Exists,No (planned: uxm/core/compiler/final/uxm31_compiler_final.bas),Yes (other copies),No,No,Used by IDE toolchain; final compiler source present
Runtime,uxm31_runtime_fb_full.bas,calisilan/uxm31_FULL_FINAL_REAL/uxm31_runtime_fb_full.bas; (other copies),Exists (multiple copies),No (planned: uxm/core/runtime/uxm31_runtime_fb_full.bas),Yes (duplicates found ~11),No,No,Runtime central host; many references in docs and IDE
Runtime,runtime/runtime_fp_services.bas,calisilan/uxm31_FULL_FINAL_REAL/runtime/runtime_fp_services.bas,Exists,No (planned: uxm/core/runtime/services/runtime_fp_services.bas),Yes (other copies),No,No,FP service declarations + MetaFloatingPoint routing present
Runtime,math_extensions/runtime/runtime_matrix_services.bas,calisilan/uxm31_FULL_FINAL_REAL/math_extensions/runtime/runtime_matrix_services.bas,Exists,No (planned: uxm/core/runtime/services/runtime_matrix_services.bas),No,No,No,Matrix runtime service implementation present
Runtime,math_extensions/runtime/runtime_math_services.bas,calisilan/uxm31_FULL_FINAL_REAL/math_extensions/runtime/runtime_math_services.bas,Exists,No (planned: uxm/core/runtime/services/runtime_math_services.bas),Yes (other copies),No,No,Contains PolyDerivative/PolyIntegral/ExprEval (UX‑MATH)
Math Extensions,math_extensions/compiler/arge_parse_math_additions.bas,calisilan/uxm31_FULL_FINAL_REAL/math_extensions/compiler/arge_parse_math_additions.bas,Exists,No (planned: uxm/core/compiler/extensions/arge_parse_math_additions.bas),Yes,No,No,Parser extensions for math
Math Extensions,math_extensions/compiler/arge_parse_matrix_additions.bas,calisilan/uxm31_FULL_FINAL_REAL/math_extensions/compiler/arge_parse_matrix_additions.bas,Exists,No (planned: uxm/core/compiler/extensions/arge_parse_matrix_additions.bas),Yes,No,No,Parser extensions for matrix
Tests,tests/*.uxm,calisilan/uxm31_FULL_FINAL_REAL/tests/*.uxm,Exists (many),No (planned: uxm/tests/native/),Yes (other test copies),No,No,Test suite present; will be moved to uxm/tests/* during cleanup
Tests,math_extensions/tests_math/*.uxm,calisilan/uxm31_FULL_FINAL_REAL/math_extensions/tests_math/*.uxm,Exists,No (planned: uxm/tests/math/),Yes,No,No,Math-specific tests present
IDE,ide/uxminima-vscode/package.json,calisilan/uxm31_FULL_FINAL_REAL/ide/uxminima-vscode/package.json,Exists,No (planned: uxm/ide/vscode),Yes,No,No,Extension manifest found (commands, config)
IDE,ide/uxminima-vscode/src/extension.ts,calisilan/uxm31_FULL_FINAL_REAL/ide/uxminima-vscode/src/extension.ts,Exists,No (planned: uxm/ide/vscode/src/),Yes,No,No,Provides VSCode commands and toolchain integration
IDE,ide/uxminima-vscode/tsconfig.json,calisilan/uxm31_FULL_FINAL_REAL/ide/uxminima-vscode/tsconfig.json,Exists,No,Yes,No,No,TypeScript build config for extension
IDE,ide/uxminima-vscode/language-configuration.json,calisilan/uxm31_FULL_FINAL_REAL/ide/uxminima-vscode/language-configuration.json,Exists,No,Yes,No,No,Language configuration for `.uxm`
IDE,ide/uxminima-vscode/syntaxes/uxm.tmLanguage.json,calisilan/uxm31_FULL_FINAL_REAL/ide/uxminima-vscode/syntaxes/uxm.tmLanguage.json,Exists,No,Yes,No,No,Grammar for syntax highlighting
Build Scripts,build_one.bat,calisilan/uxm31_FULL_FINAL_REAL/build_one.bat (and other build_*.bat),Exists,No (planned: uxm/build/),Yes,No,No,Multiple build scripts present (build_all.bat, run_tests.bat, run_final_probe.bat...)
Addressing,uxm31_matrix_out/adresleme_matrisi.csv,calisilan/uxm31_FULL_FINAL_REAL/UXM_V31_Kanonik_Kod_Temizlik_Parcalama_Plani_V3/girdi_matris_kopyalari/calisilan_pkg/uxm31_matrix_out/adresleme_matrisi.csv,Exists,No,Yes,No,No,Contains modes: (T),(T+N),(T-N),(T:N),(D:N),(S:N),(SP),(P),(E),(F), *T indirection, D@T etc.
FP Docs,UX-FP V1/Decimal_FP_Sistemi.md,calisilan/uxm31_FULL_FINAL_REAL/UX-FP V1/Decimal_FP_Sistemi.md,Exists,No,Yes,No,No,Design doc for decimal FP; runtime/FP services implement corresponding APIs
Notes,repo_summary,calisilan/uxm31_FULL_FINAL_REAL (folder),Exists as consolidated workspace root for final ARGE,Yes (this folder consolidates canonical pieces),No,No,No,"Reason: contains compiler source, runtime, IDE extension, tests, math services and build scripts -> highest assembly score"
