BaseName,Copy_Count,Unique_Hash_Count,Paths,Assessment
buffer.buffer.d.ts,2,2,ide/uxminima-vscode/node_modules/@types/node/buffer.buffer.d.ts | ide/uxminima-vscode/node_modules/@types/node/ts5.6/buffer.buffer.d.ts,AYNI AD FARKLI İÇERİK
build_final_compiler.bat,2,2,build_final_compiler.bat | ide/uxminima-vscode/tools/build_final_compiler.bat,AYNI AD FARKLI İÇERİK
diagnosticmessages.generated.json,13,13,ide/uxminima-vscode/node_modules/typescript/lib/cs/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/de/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/es/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/fr/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/it/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/ja/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/ko/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/pl/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/pt-br/diagnosticMessages.generated.json | ide/uxminima-vscode/node_modules/typescript/lib/ru/diagnosticMessages.generated.json,AYNI AD FARKLI İÇERİK
dynamic_data_address.uxm,2,1,ide/uxminima-vscode/examples/dynamic_data_address.uxm | final/examples/dynamic_data_address.uxm,BİREBİR KOPYA
events.d.ts,2,2,ide/uxminima-vscode/node_modules/@types/node/events.d.ts | ide/uxminima-vscode/node_modules/@types/node/web-globals/events.d.ts,AYNI AD FARKLI İÇERİK
fetch.d.ts,2,2,ide/uxminima-vscode/node_modules/undici-types/fetch.d.ts | ide/uxminima-vscode/node_modules/@types/node/web-globals/fetch.d.ts,AYNI AD FARKLI İÇERİK
final_probe.uxm,2,1,ide/uxminima-vscode/examples/final_probe.uxm | final/examples/final_probe.uxm,BİREBİR KOPYA
gercek_durum.md,2,1,gercek_durum.md | BELGE_KOPYALARI/gercek_durum.md,BİREBİR KOPYA
globals.typedarray.d.ts,2,2,ide/uxminima-vscode/node_modules/@types/node/globals.typedarray.d.ts | ide/uxminima-vscode/node_modules/@types/node/ts5.6/globals.typedarray.d.ts,AYNI AD FARKLI İÇERİK
index.d.ts,5,5,ide/uxminima-vscode/node_modules/undici-types/index.d.ts | ide/uxminima-vscode/node_modules/@types/node/index.d.ts | ide/uxminima-vscode/node_modules/@types/vscode/index.d.ts | ide/uxminima-vscode/node_modules/@types/node/compatibility/index.d.ts | ide/uxminima-vscode/node_modules/@types/node/ts5.6/index.d.ts,AYNI AD FARKLI İÇERİK
