Dosya,Rol,Uzantı,Boyut,Satır
.vscode/settings.json,source/other,.json,287,7
ANALIZ_KARSILASTIRMA.md,doc,.md,8105,78
BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md,doc,.md,2262,53
BELGE_KOD_OK_MATRISI.md,doc,.md,1310,24
BELGE_KOPYALARI/README.md,doc,.md,568,21
BELGE_KOPYALARI/bilgi.md,doc,.md,5621,285
BELGE_KOPYALARI/gercek_durum.md,doc,.md,1207,63
BELGE_KOPYALARI/karsilastirma v2.md,doc,.md,8491,347
BELGE_KOPYALARI/kullanma klavuzu genisletme.md,doc,.md,14232,732
BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md,doc,.md,26911,1342
BELGE_KOPYALARI/ux_minima_IDE_vscode.md,doc,.md,10400,321
BELGE_KOPYALARI/ux_minima_full v31.md,doc,.md,155210,4769
BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md,doc,.md,11057,406
BELGE_KOPYALARI/uxminimabilgi.md,doc,.md,54743,2201
BELGE_KOPYALARI/v2 ile yazilabilecek programlar.md,doc,.md,14108,774
BELGE_KOPYALARI/v2 karsilastirma.md,doc,.md,13703,857
DOKUMAN_ENVANTERI.md,doc,.md,864,32
KODDA_OLUP_BELGEDE_OLMAYANLAR_RAPORU.md,doc,.md,1362,26
KULLANIM_KILAVUZU_BIRLESIK_V31.md,doc,.md,31694,1487
MASTER_TAKIP_DOKUMANI_V31.md,doc,.md,4112,122
README.md,doc,.md,3491,92
TASARIM_KATMAN_KOMUT_SISTEM_MATRISI.md,doc,.md,2837,52
TEKNIK_NOT_VE_EKLENTI_CALISTIRMA.md,doc,.md,978,20
UX-FP V1/Decimal_FP_Sistemi.md,doc,.md,18135,1078
UX-FP V1/README.md,doc,.md,543,18
build/README.md,doc,.md,644,22
build/_datt_force_test.uxm,source/other,.uxm,45,4
build/test_expect_report.json,source/other,.json,3829,206
build/test_expect_report_only_marked.json,source/other,.json,1866,98
build_all.bat,build_script,.bat,679,26
build_final_compiler.bat,compiler,.bat,261,11
build_one.bat,build_script,.bat,931,40
compiler/README.md,doc,.md,543,18
compiler/uxm31_compiler_fb.bas,compiler,.bas,55396,1502
final/README.md,doc,.md,607,20
final/UXM31_FINAL_ARGE_COMPILER.md,compiler,.md,1257,53
final/build_final.bat,build_script,.bat,386,10
final/examples/README.md,doc,.md,578,19
final/examples/dynamic_data_address.uxm,source/other,.uxm,70,6
final/examples/final_probe.uxm,source/other,.uxm,134,9
final/uxm31_compiler_final.bas,compiler,.bas,65532,1066
gercek_durum.md,doc,.md,1207,63
ide/README.md,ide,.md,533,18
ide/uxminima-vscode/.github/README.md,ide,.md,564,18
ide/uxminima-vscode/.github/copilot-instructions.md,ide,.md,2409,54
ide/uxminima-vscode/.vscode/README.md,ide,.md,573,19
ide/uxminima-vscode/.vscode/launch.json,ide,.json,310,13
ide/uxminima-vscode/.vscode/tasks.json,ide,.json,282,17
ide/uxminima-vscode/README.md,ide,.md,1895,82
ide/uxminima-vscode/docs/README.md,ide,.md,705,23
ide/uxminima-vscode/docs/UXM31_FINAL_ARGE_COMPILER.md,compiler,.md,1257,53
ide/uxminima-vscode/docs/UXM_EXAMPLES.md,ide,.md,241,39
ide/uxminima-vscode/docs/UXM_FINAL_IDE_USAGE.md,ide,.md,1000,44
ide/uxminima-vscode/docs/UXM_IDE_PROTOCOL.md,ide,.md,514,15
ide/uxminima-vscode/docs/UXM_LANGUAGE_SPEC.md,ide,.md,933,37
ide/uxminima-vscode/docs/UXM_MEMORY_MODEL.md,ide,.md,472,21
ide/uxminima-vscode/docs/UXM_META_SERVICES.md,ide,.md,819,28
ide/uxminima-vscode/docs/UXM_TRACE_FORMAT.md,ide,.md,548,30
ide/uxminima-vscode/examples/README.md,ide,.md,580,19
ide/uxminima-vscode/examples/data_sort.uxm,ide,.uxm,206,24
ide/uxminima-vscode/examples/dynamic_data_address.uxm,ide,.uxm,70,6
ide/uxminima-vscode/examples/fifo_watch.uxm,ide,.uxm,101,11
ide/uxminima-vscode/examples/final_probe.uxm,ide,.uxm,134,9
ide/uxminima-vscode/ide_okubeni.md,ide,.md,2195,94
ide/uxminima-vscode/language-configuration.json,ide,.json,408,21
ide/uxminima-vscode/node_modules/.package-lock.json,ide,.json,1579,46
ide/uxminima-vscode/node_modules/@types/node/README.md,ide,.md,1500,15
ide/uxminima-vscode/node_modules/@types/node/assert/strict.d.ts,ide,.ts,201,8
ide/uxminima-vscode/node_modules/@types/node/assert.d.ts,ide,.ts,44590,1062
ide/uxminima-vscode/node_modules/@types/node/async_hooks.d.ts,ide,.ts,25601,605
ide/uxminima-vscode/node_modules/@types/node/buffer.buffer.d.ts,ide,.ts,22704,471
ide/uxminima-vscode/node_modules/@types/node/buffer.d.ts,ide,.ts,88372,1936
ide/uxminima-vscode/node_modules/@types/node/child_process.d.ts,ide,.ts,66686,1475
ide/uxminima-vscode/node_modules/@types/node/cluster.d.ts,ide,.ts,27918,577
ide/uxminima-vscode/node_modules/@types/node/compatibility/disposable.d.ts,ide,.ts,473,16
ide/uxminima-vscode/node_modules/@types/node/compatibility/index.d.ts,ide,.ts,533,9
ide/uxminima-vscode/node_modules/@types/node/compatibility/indexable.d.ts,ide,.ts,990,20
ide/uxminima-vscode/node_modules/@types/node/compatibility/iterators.d.ts,ide,.ts,1303,21
ide/uxminima-vscode/node_modules/@types/node/console.d.ts,ide,.ts,21255,452
ide/uxminima-vscode/node_modules/@types/node/constants.d.ts,ide,.ts,816,21
ide/uxminima-vscode/node_modules/@types/node/crypto.d.ts,ide,.ts,196548,4590
ide/uxminima-vscode/node_modules/@types/node/dgram.d.ts,ide,.ts,27968,597
ide/uxminima-vscode/node_modules/@types/node/diagnostics_channel.d.ts,ide,.ts,25227,578
ide/uxminima-vscode/node_modules/@types/node/dns/promises.d.ts,ide,.ts,20383,479
ide/uxminima-vscode/node_modules/@types/node/dns.d.ts,ide,.ts,35556,871
ide/uxminima-vscode/node_modules/@types/node/domain.d.ts,ide,.ts,7815,170
ide/uxminima-vscode/node_modules/@types/node/events.d.ts,ide,.ts,44280,977
ide/uxminima-vscode/node_modules/@types/node/fs/promises.d.ts,ide,.ts,55422,1270
ide/uxminima-vscode/node_modules/@types/node/fs.d.ts,ide,.ts,188318,4375
ide/uxminima-vscode/node_modules/@types/node/globals.d.ts,ide,.ts,6114,172
ide/uxminima-vscode/node_modules/@types/node/globals.typedarray.d.ts,ide,.ts,1825,38
ide/uxminima-vscode/node_modules/@types/node/http.d.ts,ide,.ts,91405,2049
ide/uxminima-vscode/node_modules/@types/node/http2.d.ts,ide,.ts,129289,2631
ide/uxminima-vscode/node_modules/@types/node/https.d.ts,ide,.ts,25837,578
ide/uxminima-vscode/node_modules/@types/node/index.d.ts,ide,.ts,3967,93
ide/uxminima-vscode/node_modules/@types/node/inspector.generated.d.ts,ide,.ts,197533,3966
ide/uxminima-vscode/node_modules/@types/node/module.d.ts,ide,.ts,23396,539
ide/uxminima-vscode/node_modules/@types/node/net.d.ts,ide,.ts,47623,1031
ide/uxminima-vscode/node_modules/@types/node/os.d.ts,ide,.ts,19443,506
ide/uxminima-vscode/node_modules/@types/node/package.json,ide,.json,4128,140
ide/uxminima-vscode/node_modules/@types/node/path.d.ts,ide,.ts,8337,200
ide/uxminima-vscode/node_modules/@types/node/perf_hooks.d.ts,ide,.ts,38089,961
ide/uxminima-vscode/node_modules/@types/node/process.d.ts,ide,.ts,98931,1961
ide/uxminima-vscode/node_modules/@types/node/punycode.d.ts,ide,.ts,5482,117
ide/uxminima-vscode/node_modules/@types/node/querystring.d.ts,ide,.ts,7128,152
ide/uxminima-vscode/node_modules/@types/node/readline/promises.d.ts,ide,.ts,6456,162
ide/uxminima-vscode/node_modules/@types/node/readline.d.ts,ide,.ts,25921,589
ide/uxminima-vscode/node_modules/@types/node/repl.d.ts,ide,.ts,19510,430
ide/uxminima-vscode/node_modules/@types/node/sea.d.ts,ide,.ts,6207,153
ide/uxminima-vscode/node_modules/@types/node/stream/consumers.d.ts,ide,.ts,1619,38
ide/uxminima-vscode/node_modules/@types/node/stream/promises.d.ts,ide,.ts,2971,90
ide/uxminima-vscode/node_modules/@types/node/stream/web.d.ts,ide,.ts,25444,533
ide/uxminima-vscode/node_modules/@types/node/stream.d.ts,ide,.ts,87071,1698
ide/uxminima-vscode/node_modules/@types/node/string_decoder.d.ts,ide,.ts,2812,67
ide/uxminima-vscode/node_modules/@types/node/test.d.ts,ide,.ts,82395,1787
ide/uxminima-vscode/node_modules/@types/node/timers/promises.d.ts,ide,.ts,3780,108
ide/uxminima-vscode/node_modules/@types/node/timers.d.ts,ide,.ts,14568,286
ide/uxminima-vscode/node_modules/@types/node/tls.d.ts,ide,.ts,59378,1259
ide/uxminima-vscode/node_modules/@types/node/trace_events.d.ts,ide,.ts,8929,197
ide/uxminima-vscode/node_modules/@types/node/ts5.6/buffer.buffer.d.ts,ide,.ts,22077,468
ide/uxminima-vscode/node_modules/@types/node/ts5.6/globals.typedarray.d.ts,ide,.ts,1160,34
ide/uxminima-vscode/node_modules/@types/node/ts5.6/index.d.ts,ide,.ts,4164,93
ide/uxminima-vscode/node_modules/@types/node/tty.d.ts,ide,.ts,10056,208
ide/uxminima-vscode/node_modules/@types/node/url.d.ts,ide,.ts,42470,964
ide/uxminima-vscode/node_modules/@types/node/util.d.ts,ide,.ts,89927,2331
ide/uxminima-vscode/node_modules/@types/node/v8.d.ts,ide,.ts,34873,809
ide/uxminima-vscode/node_modules/@types/node/vm.d.ts,ide,.ts,46095,1001
ide/uxminima-vscode/node_modules/@types/node/wasi.d.ts,ide,.ts,7942,181
