DosyaAdi,KopyaSayisi,FarkliHashSayisi,Yollar,Karar,V3_Not
build_final_compiler.bat,2,2,build_final_compiler.bat | ide/uxminima-vscode/tools/build_final_compiler.bat,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
duplicate_authority_selection.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_authority_selection.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_authority_selection.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
duplicate_hash_diffs.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_hash_diffs.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_hash_diffs.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
dynamic_data_address.uxm,2,1,ide/uxminima-vscode/examples/dynamic_data_address.uxm | final/examples/dynamic_data_address.uxm,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
final_probe.uxm,2,1,ide/uxminima-vscode/examples/final_probe.uxm | final/examples/final_probe.uxm,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
four_hat_parity.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
four_hat_parity_full.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity_full.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity_full.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
gercek_durum.md,2,1,gercek_durum.md | BELGE_KOPYALARI/gercek_durum.md,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
gitmv_esitleme_manifest.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/gitmv_esitleme_manifest.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/gitmv_esitleme_manifest.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
high_service_gaps.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/high_service_gaps.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/high_service_gaps.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
readme.md,31,31,README.md | BELGE_KOPYALARI/README.md | build/README.md | compiler/README.md | final/README.md | ide/README.md | lib/README.md | math_extensions/README.md | runtime/README.md | tests/README.md | tools/README.md | UX-FP V1/README.md | uxm_V3.1_Full_Final/README.md | math_extensions/compiler/README.md | math_extensions/docs/README.md | math_extensions/lib/README.md | math_extensions/runtime/README.md | math_extensions/tests_math/README.md | ide/uxminima-vscode/README.md | ide/uxminima-vscode/.github/README.md | ide/uxminima-vscode/.vscode/README.md | ide/uxminima-vscode/docs/README.md | ide/uxminima-vscode/examples/README.md | ide/uxminima-vscode/out/README.md | ide/uxminima-vscode/snippets/README.md | ide/uxminima-vscode/src/README.md | ide/uxminima-vscode/syntaxes/README.md | ide/uxminima-vscode/tools/README.md | ide/uxminima-vscode/src/views/README.md | ide/uxminima-vscode/out/views/README.md | final/examples/README.md,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
ux_mat_v1.uxm,2,1,lib/ux_mat_v1.uxm | math_extensions/lib/ux_mat_v1.uxm,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
ux_math_v1.uxm,2,1,lib/ux_math_v1.uxm | math_extensions/lib/ux_math_v1.uxm,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
ux_minima_full v31.md,2,2,ux_minima_full v31.md | legacy/duplicates/BELGE_KOPYALARI/ux_minima_full v31.md,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
ux_minima_ide_vscode.md,2,2,ux_minima_IDE_vscode.md | legacy/duplicates/BELGE_KOPYALARI/ux_minima_IDE_vscode.md,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
ux_minima_kullanim klavuzu.md,2,2,uX_Minima_Kullanim Klavuzu.md | legacy/duplicates/BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
ux_minimax_ide_tasarimi_dusuncesi.md,2,2,ux_minimax_ide_tasarimi_dusuncesi.md | legacy/duplicates/BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
uxm31_compiler_fb.bas,2,2,uxm31_compiler_fb.bas | legacy/duplicates/compiler/uxm31_compiler_fb.bas,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
uxm31_compiler_final.bas,2,2,final/uxm31_compiler_final.bas | legacy/duplicates/ide/uxminima-vscode/tools/uxm31_compiler_final.bas,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
uxm31_final_arge_compiler.md,2,1,final/UXM31_FINAL_ARGE_COMPILER.md | ide/uxminima-vscode/docs/UXM31_FINAL_ARGE_COMPILER.md,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
uxm31_full_tool_fb.bas,2,2,uxm31_full_tool_fb.bas | legacy/duplicates/tools/uxm31_full_tool_fb.bas,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
uxm31_runtime_fb_full.bas,2,2,uxm31_runtime_fb_full.bas | legacy/duplicates/runtime/uxm31_runtime_fb_full.bas,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
uxm_v31_tests_meta_50_120_expect_report.csv,2,1,UXM_V31_tests_meta_50_120_expect_report.csv | UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_tests_meta_50_120_expect_report.csv,AYNI_ICERIK_TEKILLESTIR,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
yeni tasarim eksiklikler.md,2,2,yeni tasarim eksiklikler.md | uxm_V3.1_Full_Final/yeni tasarim eksiklikler.md,KANONIK_SECILMELI,Ayni adli dosyalar aktif hatta birlikte kalmayacak; kanonik olmayanlar uxm/legacy altina git mv ile taşınacak.
