Path,Extension,Role,Bytes,Lines,ProposedTarget,Action
.gitignore,,other,373,,uxm/legacy/other_old/.gitignore,MOVE_LEGACY_OTHER
.vscode/settings.json,.json,other,287,7,uxm/legacy/other_old/.vscode/settings.json,MOVE_LEGACY_OTHER
ANALIZ_KARSILASTIRMA.md,.md,old_information_document,8105,78,uxm/legacy/docs_old/ANALIZ_KARSILASTIRMA.md,MOVE_LEGACY_DOC
ANALIZ_anahtar_kelime_ham.csv,.csv,old_matrix_or_report,0,,uxm/legacy/matrices_old/ANALIZ_anahtar_kelime_ham.csv,MOVE_LEGACY_MATRIX
ANALIZ_anahtar_kelime_ozet.csv,.csv,old_matrix_or_report,0,,uxm/legacy/matrices_old/ANALIZ_anahtar_kelime_ozet.csv,MOVE_LEGACY_MATRIX
ANALIZ_eksik_referanslar.csv,.csv,old_matrix_or_report,27854,150,uxm/legacy/matrices_old/ANALIZ_eksik_referanslar.csv,MOVE_LEGACY_MATRIX
ANALIZ_referans_dogrulama.csv,.csv,old_matrix_or_report,84559,465,uxm/legacy/matrices_old/ANALIZ_referans_dogrulama.csv,MOVE_LEGACY_MATRIX
ANALIZ_referanslar.csv,.csv,old_matrix_or_report,65808,465,uxm/legacy/matrices_old/ANALIZ_referanslar.csv,MOVE_LEGACY_MATRIX
ASM,,other,54,,uxm/legacy/other_old/ASM,MOVE_LEGACY_OTHER
BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md,.md,old_information_document,2262,53,uxm/legacy/docs_old/BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md,MOVE_LEGACY_DOC
BELGE_KOD_OK_MATRISI.md,.md,old_information_document,1310,24,uxm/legacy/docs_old/BELGE_KOD_OK_MATRISI.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/README.md,.md,old_information_document,568,21,uxm/legacy/docs_old/BELGE_KOPYALARI/README.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/bilgi.md,.md,old_information_document,5621,285,uxm/legacy/docs_old/BELGE_KOPYALARI/bilgi.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/gercek_durum.md,.md,old_information_document,1207,63,uxm/legacy/docs_old/BELGE_KOPYALARI/gercek_durum.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/karsilastirma v2.md,.md,old_information_document,8491,347,uxm/legacy/docs_old/BELGE_KOPYALARI/karsilastirma v2.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/kullanma klavuzu genisletme.md,.md,old_information_document,14232,732,uxm/legacy/docs_old/BELGE_KOPYALARI/kullanma klavuzu genisletme.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/uxminimabilgi.md,.md,old_information_document,54743,2201,uxm/legacy/docs_old/BELGE_KOPYALARI/uxminimabilgi.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/v2 ile yazilabilecek programlar.md,.md,old_information_document,14108,774,uxm/legacy/docs_old/BELGE_KOPYALARI/v2 ile yazilabilecek programlar.md,MOVE_LEGACY_DOC
BELGE_KOPYALARI/v2 karsilastirma.md,.md,old_information_document,13703,857,uxm/legacy/docs_old/BELGE_KOPYALARI/v2 karsilastirma.md,MOVE_LEGACY_DOC
DEGISIKLIK_GUNLUGU_TR.md,.md,old_information_document,1761,30,uxm/legacy/docs_old/DEGISIKLIK_GUNLUGU_TR.md,MOVE_LEGACY_DOC
DOKUMAN_ENVANTERI.md,.md,old_information_document,864,32,uxm/legacy/docs_old/DOKUMAN_ENVANTERI.md,MOVE_LEGACY_DOC
EXE,,other,23,,uxm/legacy/other_old/EXE,MOVE_LEGACY_OTHER
FILE_MANIFEST.txt,.txt,old_information_document,6465,100,uxm/legacy/docs_old/FILE_MANIFEST.txt,MOVE_LEGACY_DOC
GERCEKLIK_KILIDI.md,.md,old_information_document,1520,36,uxm/legacy/docs_old/GERCEKLIK_KILIDI.md,MOVE_LEGACY_DOC
KODDA_OLUP_BELGEDE_OLMAYANLAR_RAPORU.md,.md,old_information_document,1362,26,uxm/legacy/docs_old/KODDA_OLUP_BELGEDE_OLMAYANLAR_RAPORU.md,MOVE_LEGACY_DOC
KULLANIM_KILAVUZU_BIRLESIK_V31.md,.md,old_information_document,35606,1503,uxm/legacy/docs_old/KULLANIM_KILAVUZU_BIRLESIK_V31.md,MOVE_LEGACY_DOC
Kod gercekliginin Mimari Sistemi.md,.md,old_information_document,32653,1281,uxm/legacy/docs_old/Kod gercekliginin Mimari Sistemi.md,MOVE_LEGACY_DOC
MASTER_TAKIP_DOKUMANI_V31.md,.md,old_information_document,9195,230,uxm/legacy/docs_old/MASTER_TAKIP_DOKUMANI_V31.md,MOVE_LEGACY_DOC
OBJ,,other,13,,uxm/legacy/other_old/OBJ,MOVE_LEGACY_OTHER
README.md,.md,old_information_document,3491,92,uxm/legacy/docs_old/README.md,MOVE_LEGACY_DOC
TASARIM_KATMAN_KOMUT_SISTEM_MATRISI.md,.md,old_information_document,2837,52,uxm/legacy/docs_old/TASARIM_KATMAN_KOMUT_SISTEM_MATRISI.md,MOVE_LEGACY_DOC
TEKNIK_NOT_VE_EKLENTI_CALISTIRMA.md,.md,old_information_document,978,20,uxm/legacy/docs_old/TEKNIK_NOT_VE_EKLENTI_CALISTIRMA.md,MOVE_LEGACY_DOC
UX-FP V1/Decimal_FP_Sistemi.md,.md,old_information_document,18135,1078,uxm/legacy/docs_old/UX-FP V1/Decimal_FP_Sistemi.md,MOVE_LEGACY_DOC
UX-FP V1/README.md,.md,old_information_document,543,18,uxm/legacy/docs_old/UX-FP V1/README.md,MOVE_LEGACY_DOC
UXM_V31_Kod_Belge_Matris_Paketi/SPRINT_1_E_ERR_STANDARTLASMA_PLANI.md,.md,old_information_document,3176,83,uxm/legacy/docs_old/UXM_V31_Kod_Belge_Matris_Paketi/SPRINT_1_E_ERR_STANDARTLASMA_PLANI.md,MOVE_LEGACY_DOC
UXM_V31_Kod_Belge_Matris_Paketi/UXM_Copilot_Siki_Turkce_Talimat.md,.md,old_information_document,963,22,uxm/legacy/docs_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_Copilot_Siki_Turkce_Talimat.md,MOVE_LEGACY_DOC
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/dashboard.csv,.csv,old_matrix_or_report,562,11,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/dashboard.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/deletion_audit.csv,.csv,old_matrix_or_report,107,2,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/deletion_audit.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/doc_manifest.csv,.csv,old_matrix_or_report,18667,96,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/doc_manifest.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_authority_selection.csv,.csv,old_matrix_or_report,1698,9,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_authority_selection.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_files.csv,.csv,old_matrix_or_report,5088,27,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_files.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_hash_diffs.csv,.csv,old_matrix_or_report,1923,10,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_hash_diffs.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/feature_checks.csv,.csv,old_matrix_or_report,5288,28,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/feature_checks.csv,MOVE_LEGACY_MATRIX
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity.csv,.csv,old_matrix_or_report,897,10,uxm/legacy/matrices_old/UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity.csv,MOVE_LEGACY_MATRIX
