Path,Extension,Role,Bytes,Lines
.gitignore,,other,373,
.vscode/settings.json,.json,other,287,7
ANALIZ_KARSILASTIRMA.md,.md,document,8105,78
ANALIZ_anahtar_kelime_ham.csv,.csv,matrix_or_report,0,
ANALIZ_anahtar_kelime_ozet.csv,.csv,matrix_or_report,0,
ANALIZ_eksik_referanslar.csv,.csv,matrix_or_report,27854,150
ANALIZ_referans_dogrulama.csv,.csv,matrix_or_report,84559,465
ANALIZ_referanslar.csv,.csv,matrix_or_report,65808,465
ASM,,other,54,
BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md,.md,document,2262,53
BELGE_KOD_OK_MATRISI.md,.md,document,1310,24
BELGE_KOPYALARI/README.md,.md,document,568,21
BELGE_KOPYALARI/bilgi.md,.md,document,5621,285
BELGE_KOPYALARI/gercek_durum.md,.md,document,1207,63
BELGE_KOPYALARI/karsilastirma v2.md,.md,document,8491,347
BELGE_KOPYALARI/kullanma klavuzu genisletme.md,.md,document,14232,732
BELGE_KOPYALARI/uxminimabilgi.md,.md,document,54743,2201
BELGE_KOPYALARI/v2 ile yazilabilecek programlar.md,.md,document,14108,774
BELGE_KOPYALARI/v2 karsilastirma.md,.md,document,13703,857
DEGISIKLIK_GUNLUGU_TR.md,.md,document,1761,30
DOKUMAN_ENVANTERI.md,.md,document,864,32
EXE,,other,23,
FILE_MANIFEST.txt,.txt,other,6465,100
GERCEKLIK_KILIDI.md,.md,document,1520,36
KODDA_OLUP_BELGEDE_OLMAYANLAR_RAPORU.md,.md,document,1362,26
KULLANIM_KILAVUZU_BIRLESIK_V31.md,.md,document,35606,1503
Kod gercekliginin Mimari Sistemi.md,.md,document,32653,1281
MASTER_TAKIP_DOKUMANI_V31.md,.md,document,9195,230
OBJ,,other,13,
README.md,.md,document,3491,92
TASARIM_KATMAN_KOMUT_SISTEM_MATRISI.md,.md,document,2837,52
TEKNIK_NOT_VE_EKLENTI_CALISTIRMA.md,.md,document,978,20
UX-FP V1/Decimal_FP_Sistemi.md,.md,document,18135,1078
UX-FP V1/README.md,.md,document,543,18
UXM_V31_Kod_Belge_Matris_Paketi/SPRINT_1_E_ERR_STANDARTLASMA_PLANI.md,.md,document,3176,83
UXM_V31_Kod_Belge_Matris_Paketi/UXM_Copilot_Siki_Turkce_Talimat.md,.md,document,963,22
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/dashboard.csv,.csv,matrix_or_report,562,11
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/deletion_audit.csv,.csv,matrix_or_report,107,2
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/doc_manifest.csv,.csv,matrix_or_report,18667,96
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_authority_selection.csv,.csv,matrix_or_report,1698,9
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_files.csv,.csv,matrix_or_report,5088,27
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_hash_diffs.csv,.csv,matrix_or_report,1923,10
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/feature_checks.csv,.csv,matrix_or_report,5288,28
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity.csv,.csv,matrix_or_report,897,10
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity_full.csv,.csv,matrix_or_report,32283,399
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/git_history.csv,.csv,matrix_or_report,8136,27
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/gitmv_esitleme_manifest.csv,.csv,matrix_or_report,2070,9
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/high_service_gaps.csv,.csv,matrix_or_report,5777,64
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/matrix_file_issues.csv,.csv,matrix_or_report,923,8
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/move_manifest.csv,.csv,matrix_or_report,3625,18
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/plan_gaps.csv,.csv,matrix_or_report,1714,9
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/sprint1_check.csv,.csv,matrix_or_report,564,8
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/test_inventory.csv,.csv,matrix_or_report,1314,7
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/tracking_files.csv,.csv,matrix_or_report,1315,10
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_Guncel_Kod_Gercekligi_Matrisleri.xlsx,.xlsx,other,41591,
UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_Guncellenmis_Plan_ve_Manifest.md,.md,document,5925,153
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_KOD_BELGE_MATRIS_RAPORU.md,.md,document,9909,134
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_Kod_Belge_Izleme_Matrisi.xlsx,.xlsx,other,56212,
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_tests_meta_50_120_expect_report.csv,.csv,matrix_or_report,2636,52
