File,FirstLine,First5,HasMarkdownFence,HasMdHeadingInTop30,StartsWithProse,OptionBeforeLang,ReservedNameRisk,Assessment
final/uxm31_compiler_final.bas,Option Explicit,"Option Explicit | #Lang ""fb"" | ' UX-MINIMA x64 V3.1 FINAL COMPILER / TOOL | ' Tek merkez: parse + diagnostics + UIR JSON + optimizer + interpreter + step tr | ' Not: FreeBASIC 1.10+ hedeflenir. Windows x64 + NASM emitter dahildir.",False,False,False,True,Dim Shared instr; Dim Shared ptr,DERLEME_RISKI
legacy/duplicates/compiler/uxm31_compiler_fb.bas,"#Lang ""fb""","#Lang ""fb"" | Const UXM_VERSION As String=""3.1"" | Const MAX_SRC As Long=2000000 | Const MAX_INSTR As Long=200000 | Const MAX_STRINGS As Long=1024",False,False,False,False,,OK
legacy/duplicates/ide/uxminima-vscode/tools/uxm31_compiler_final.bas,Option Explicit,"Option Explicit | #Lang ""fb"" | ' UX-MINIMA x64 V3.1 FINAL COMPILER / TOOL | ' Tek merkez: parse + diagnostics + UIR JSON + optimizer + interpreter + step tr | ' Not: FreeBASIC 1.10+ hedeflenir. Windows x64 + NASM emitter dahildir.",False,False,False,True,Dim Shared instr; Dim Shared ptr; Dim dir,DERLEME_RISKI
legacy/duplicates/runtime/uxm31_runtime_fb_full.bas,"#Lang ""fb""","#Lang ""fb"" | Extern ""C"" | Declare Sub uxm_entry() | Declare Sub ux_putc(ByVal ch As ULongInt) | Declare Function ux_getc() As ULongInt",False,False,False,False,,OK
legacy/duplicates/tools/uxm31_full_tool_fb.bas,"Tamam Mete abi. Bu sefer **iskelet değil**, V3.1’e eksik kalan büyük parçaları gerçekten çalıştıran **tam bir FreeBASIC ","Tamam Mete abi. Bu sefer **iskelet değil**, V3.1’e eksik kalan büyük parçaları g |  | ```text | JSON trace | UIR dışa aktarma",True,True,True,False,Dim Shared instr; Dim Shared ptr; Dim dir,KIRIK_KAYNAK_MD_KARISMIS
math_extensions/compiler/arge_parse_math_additions.bas,' Add these declarations to uxm31_compiler_final.bas,"' Add these declarations to uxm31_compiler_final.bas | Declare Sub ParseArgeMathLine(ByVal lineText As String) | Declare Sub AddDataInit(ByVal dataIndex As Long, ByVal value As Long) | Declare Function SplitCsvCount(ByVal s As String) As Long | Declare Function SplitCsvValue(ByVal s As String, ByVal idx As Long) As Long",False,False,False,False,,OK
math_extensions/compiler/arge_parse_matrix_additions.bas,' UX-MAT V1 compiler ARGE additions,"' UX-MAT V1 compiler ARGE additions | Declare Sub ParseArgeMatrixLine(ByVal lineText As String) | Declare Function MatrixNextToken(ByVal s As String, ByRef p As Long) As String | Declare Function MatrixFixedToScaled(ByVal s As String, ByVal scale As Long) As  | Declare Function MatrixCsvItem(ByVal s As String, ByVal idx As Long) As String",False,False,False,False,,OK
math_extensions/runtime/runtime_math_services.bas,' UX-MATH V1 runtime services for uxm31_runtime_fb_full.bas,' UX-MATH V1 runtime services for uxm31_runtime_fb_full.bas | ' Add routing inside ux_meta_call_ex: | ' ElseIf metaId>=240 And metaId<=254 Then | '     MetaMathExtra metaId | ' Declarations:,False,False,False,False,,OK
math_extensions/runtime/runtime_matrix_services.bas,' UX-MAT V1 runtime services for uxm31_runtime_fb_full.bas,' UX-MAT V1 runtime services for uxm31_runtime_fb_full.bas | ' Meta range: 160..199 |  | Declare Function MatPow10(ByVal n As LongInt) As LongInt | Declare Function MatIsValid(ByVal baseAddr As LongInt) As Long,False,False,False,False,,OK
runtime/runtime_fp_services.bas,' UX-FP V1 runtime services for uxm31_runtime_fb_full.bas,"' UX-FP V1 runtime services for uxm31_runtime_fb_full.bas | Declare Sub FPInit(ByVal baseAddr As LongInt, ByVal prec As LongInt) | Declare Sub FPZero(ByVal baseAddr As LongInt) | Declare Sub FPCopy(ByVal dstBase As LongInt, ByVal srcBase As LongInt) | Declare Sub FPFromInt(ByVal baseAddr As LongInt, ByVal value As LongInt)",False,False,False,False,,OK
