ID,Name,Belge_Durumu,Kod_Genel,Runtime_Host,Final_Interpreter,Full_Tool,VSCode_Runtime,VSCode_Help,Test_Kaniti,Not,Tests_Present,EXPECT_OUTPUT
"50","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"51","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"52","ASINH","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"53","ACOSH","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"54","ATANH","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"55","LOG","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"56","EXP","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"57","POW","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"58","DEG_TO_RAD","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"59","RAD_TO_DEG","VAR","KISMEN","VAR","YOK","YOK","YOK","YOK","","","NO","NO"
"60","PRINT ARG2","VAR","VAR","VAR","VAR","VAR","VAR","VAR","","","NO","NO"
"61","PRINT RESULT","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test01_print_A.uxm; tests/test05_meta_add.uxm; tests/test06_dynamic_meta_mul.uxm; tests/test09_div_mod.uxm; tests/test10_sin_scaled.uxm","","YES","NO"
"62","PRINT STACK POP","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test51_meta_print_stack_pop.uxm","","YES","NO"
"63","READ DECIMAL","VAR","VAR","VAR","VAR","VAR","VAR","VAR","","stdin bagimli okuma: host satir girdisi, interpreter EOF fallback","NO","NO"
"64","PRINT SPACE","VAR","VAR","VAR","VAR","VAR","VAR","VAR","","","NO","NO"
"65","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"66","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"67","PRINT HEX","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test52_meta_print_hex.uxm","","YES","NO"
"68","PRINT BIN","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test53_meta_print_bin.uxm","","YES","NO"
"69","PRINT CHAR/RAW","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test54_meta_print_char_raw.uxm","","YES","NO"
"70","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"71","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"72","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"73","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"74","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"75","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"76","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"77","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"78","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"79","Reserved/User/Planned","RESERVED/PLAN","RESERVED","YOK","YOK","YOK","YOK","YOK","","","NO","NO"
"80","SET POINTER","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test18_pointer_service.uxm","","YES","NO"
"81","ADD POINTER","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"82","GET POINTER","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"83","POINTER VALID","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"84","TAPE CELLS","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test32_wild_layout_change.uxm","","YES","YES"
"85","DATA CELLS","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"86","STACK CELLS","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"87","CELL BITS","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"88","CELL BYTES","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test45_pointer_meta_extended.uxm","","YES","NO"
"89","PRINT LAYOUT","VAR","VAR","VAR","VAR","VAR","VAR","VAR","","","NO","NO"
"90","FIFO PUSH","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test20_fifo_char_order.uxm; tests/test21_fifo_count_peek.uxm","","YES","YES"
"91","FIFO POP","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test20_fifo_char_order.uxm","","YES","YES"
"92","FIFO PEEK","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test21_fifo_count_peek.uxm","","YES","YES"
"93","FIFO COUNT","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test21_fifo_count_peek.uxm","","YES","YES"
"94","FIFO CLEAR","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test46_fifo_clear.uxm","","YES","NO"
"95","DATA READ","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test22_data_write_read_char.uxm; tests/test24_data_block_copy_print.uxm; tests/test25_data_sort_ascending.uxm; tests/test34_data_block_clear.uxm","","YES","YES"
"96","DATA WRITE","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test22_data_write_read_char.uxm; tests/test25_data_sort_ascending.uxm","","YES","YES"
"97","DATA DIGIT","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test23_data_digit_ascii_to_number.uxm","","YES","YES"
"98","DATA BLOCK COPY","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test24_data_block_copy_print.uxm","","YES","YES"
"99","DATA BLOCK CLEAR","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test34_data_block_clear.uxm","","YES","YES"
"100","TAPE SORT ASC","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test47_tape_sort_ascending.uxm","","YES","NO"
"101","TAPE SORT DESC","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test26_tape_sort_descending_chars.uxm","","YES","YES"
"102","DATA SORT ASC","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test25_data_sort_ascending.uxm","","YES","YES"
"103","DATA SORT DESC","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test48_data_sort_descending.uxm","","YES","NO"
"104","TAPE SEARCH","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test27_tape_linear_search.uxm","","YES","YES"
"105","DATA SEARCH","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test49_data_linear_search.uxm","","YES","NO"
"106","TAPE BLOCK COPY","VAR","VAR","VAR","VAR","VAR","VAR","VAR","tests/test50_tape_block_copy_clear.uxm","","YES","NO"
