File,Exists,Purpose,Update_Rule
MASTER_TAKIP_DOKUMANI_V31.md,VAR,ana ilerleme/takip,Her sprint sonunda ve kod değişikliği sonrası güncelle
GERCEKLIK_KILIDI.md,YENİ,yeni: koddan üretilmiş 4 hat gerçeklik kilidi,Her sprint sonunda ve kod değişikliği sonrası güncelle
DEGISIKLIK_GUNLUGU_TR.md,YENİ,yeni: her işlemden önce/sonra Türkçe kayıt,Her sprint sonunda ve kod değişikliği sonrası güncelle
BELGE_KOD_OK_MATRISI.md,VAR,belge-kod OK matrisi; koddan yeniden doğrulanmalı,Her sprint sonunda ve kod değişikliği sonrası güncelle
BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md,VAR,gap raporu,Her sprint sonunda ve kod değişikliği sonrası güncelle
KODDA_OLUP_BELGEDE_OLMAYANLAR_RAPORU.md,VAR,ters gap raporu,Her sprint sonunda ve kod değişikliği sonrası güncelle
UXM_V31_Kod_Belge_Matris_Paketi/SPRINT_1_E_ERR_STANDARTLASMA_PLANI.md,VAR,Sprint1 plan/rapor ayrılmalı,Her sprint sonunda ve kod değişikliği sonrası güncelle
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv,VAR,servis matrisi; CSV formatı düzeltilmeli,Her sprint sonunda ve kod değişikliği sonrası güncelle
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/test_matrisi.csv,VAR,test matrisi; tests_matrix eklenmeli,Her sprint sonunda ve kod değişikliği sonrası güncelle
uxm/core/compiler/native/native_main.bas,YENI,V3 moduler derleyici ana giris dosyasi,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/native/native_cli.bas,YENI,V3 moduler derleyici CLI ve pragma islemleri,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/native/native_lexer_parser.bas,YENI,V3 moduler lexer/parser katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/native/native_addressing.bas,YENI,V3 moduler adresleme parser katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/native/native_meta_parse.bas,YENI,V3 moduler meta parse katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/native/native_validation.bas,YENI,V3 moduler dogrulama ve tanim gecisi katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/native/native_asm_emit.bas,YENI,V3 moduler asm emit katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/runtime/runtime_memory.bas,YENI,V3 moduler runtime bellek katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/runtime/runtime_status_flags.bas,YENI,V3 moduler runtime status/flag katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/runtime/runtime_io.bas,YENI,V3 moduler runtime io/fifo katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/runtime/runtime_meta_dispatch.bas,YENI,V3 moduler runtime meta dispatch katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/runtime/runtime_host.bas,YENI,V3 moduler runtime host omurgasi,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_cli.bas,YENI,V3 moduler final compiler CLI katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_parser.bas,YENI,V3 moduler final compiler parser katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_math_bridge.bas,YENI,V3 moduler final compiler math bridge katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_trace_json.bas,YENI,V3 moduler final compiler trace/json katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_interpreter.bas,YENI,V3 moduler final compiler interpreter katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_asm_emit.bas,YENI,V3 moduler final compiler asm emit katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/core/compiler/final/final_main.bas,YENI,V3 moduler final compiler ana akis katmani,Her kod parcasi tasima sonrasi build/test ile guncelle
uxm/ide/vscode/uxminima-vscode/src/interpreter/core.ts,YENI,VSCode interpreter core modulu,Her kod parcasi tasima sonrasi npm compile ile guncelle
uxm/ide/vscode/uxminima-vscode/src/interpreter/parser.ts,YENI,VSCode interpreter parser yardimci modulu,Her kod parcasi tasima sonrasi npm compile ile guncelle
uxm/ide/vscode/uxminima-vscode/src/interpreter/memory.ts,YENI,VSCode interpreter bellek yardimci modulu,Her kod parcasi tasima sonrasi npm compile ile guncelle
uxm/ide/vscode/uxminima-vscode/src/interpreter/trace.ts,YENI,VSCode interpreter trace yardimci modulu,Her kod parcasi tasima sonrasi npm compile ile guncelle
uxm/ide/vscode/uxminima-vscode/src/interpreter/metaRuntime.ts,YENI,VSCode interpreter meta runtime yardimci modulu,Her kod parcasi tasima sonrasi npm compile ile guncelle
uxm/ide/vscode/uxminima-vscode/src/uxmInterpreter.ts,VAR,VSCode interpreter wrapper re-export gecis noktasi,Her kod parcasi tasima sonrasi npm compile ile guncelle
