"Kategori","Öğe","Standart/Anlam","Belge Durumu","Native Compiler","Final Compiler","Full Tool","VSCode Internal","Runtime Resolve/Emit","Kod Kanıtı","Not"
"Adresleme","(T)","Aktif tape hücresi","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:35","2026-05-07 kod-gerceklik audit"
"Adresleme","(T+N)","Pointer göreli tape +N","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:36","2026-05-07 kod-gerceklik audit"
"Adresleme","(T-N)","Pointer göreli tape -N","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:36","2026-05-07 kod-gerceklik audit"
"Adresleme","(T:N)","Mutlak tape adresi","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:37","2026-05-07 kod-gerceklik audit"
"Adresleme","(D:N)","Data mutlak adres","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:38","2026-05-07 kod-gerceklik audit"
"Adresleme","(S:N)","Stack mutlak adres","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:39","2026-05-07 kod-gerceklik audit"
"Adresleme","(SP)","Stack top / sp-1","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:40","2026-05-07 kod-gerceklik audit"
"Adresleme","(P)","Pointer register","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:41","2026-05-07 kod-gerceklik audit"
"Adresleme","(E)","Status byte","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:42","2026-05-07 kod-gerceklik audit"
"Adresleme","(F)","Flags word","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:43","2026-05-07 kod-gerceklik audit"
"Adresleme","(*T)","Tape[current] indirection","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:44","2026-05-07 kod-gerceklik audit"
"Adresleme","(*(T+N))","Tape[ptr+N] indirection","VAR","VAR","VAR","VAR","VAR","VAR","uxm31_compiler_fb.bas:45","2026-05-07 kod-gerceklik audit"
"Adresleme","(D@T)","Data[tape[ptr]]","VAR","VAR","VAR","YOK","VAR","VAR","uxm31_compiler_fb.bas:46","2026-05-07 kod-gerceklik audit"
"Adresleme","(D@T+N)","Data[tape[ptr]+N]","VAR","VAR","VAR","YOK","VAR","VAR","uxm31_compiler_fb.bas:46","2026-05-07 kod-gerceklik audit"
"Adresleme","(D@T-N)","Data[tape[ptr]-N]","VAR","VAR","VAR","YOK","VAR","VAR","uxm31_compiler_fb.bas:46","2026-05-07 kod-gerceklik audit"
"Adresleme","(D@(T+N)+M)","Data[tape[ptr+N]+M]","VAR","VAR","VAR","YOK","VAR","VAR","uxm31_compiler_fb.bas:47","2026-05-07 kod-gerceklik audit"
"Adresleme","(D@(T-N)+M)","Data[tape[ptr-N]+M]","VAR","VAR","VAR","YOK","VAR","VAR","uxm31_compiler_fb.bas:47","2026-05-07 kod-gerceklik audit"
