"ID","Name","RuntimeHost","FinalInterpreter","FullTool","VSCodeRuntime","VarCount","Parity","TestEvidence"
"0","OK/no-op","VAR","VAR","VAR","VAR","4/4","FULL",""
"1","CLS","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test07_macro.uxm; tests/test12_signed_mode.uxm; tests/test16_data_digit.uxm; tests/test17_endian_word_split.uxm; tests/test25_data_sort_ascending.uxm"
"2","LOCATE 1,1","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test05_meta_add.uxm; tests/test09_div_mod.uxm; tests/test12_signed_mode.uxm; tests/test13_status_div_zero.uxm; tests/test30_word_mode_add.uxm"
"3","RANDOM BYTE","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"4","TIMER","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test01_print_A.uxm; tests/test10_sin_scaled.uxm; tests/test11_hypotenuse.uxm"
"5","NEWLINE","VAR","VAR","VAR","VAR","4/4","FULL","tests/test08_newline.uxm; tests/test09_div_mod.uxm; tests/test21_fifo_count_peek.uxm"
"6","PRINT META INFO","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test01_print_A.uxm; tests/test05_meta_add.uxm; tests/test06_dynamic_meta_mul.uxm; tests/test09_div_mod.uxm; tests/test10_sin_scaled.uxm; tests/test44_meta_version_info.uxm"
"7","VERSION MAJOR","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test44_meta_version_info.uxm"
"8","VERSION MINOR","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test18_pointer_service.uxm; tests/test32_wild_layout_change.uxm; tests/test44_meta_version_info.uxm"
"9","STATUS READ","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test20_fifo_char_order.uxm; tests/test21_fifo_count_peek.uxm; tests/test22_data_write_read_char.uxm; tests/test23_data_digit_ascii_to_number.uxm; tests/test24_data_block_copy_print.uxm"
"10","STATUS CLEAR","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test25_data_sort_ascending.uxm; tests/test26_tape_sort_descending_chars.uxm; tests/test27_tape_linear_search.uxm"
"11","STATUS SET","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"12","STATUS PRINT","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test07_macro.uxm; tests/test12_signed_mode.uxm; tests/test29_nested_macro_call.uxm; tests/test31_safe_mode_wild_denied.uxm; tests/test32_wild_layout_change.uxm"
"13","ERR FLAG SET","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test42_error_flag_set_reset.uxm; tests/test43_error_macro_helpers.uxm"
"14","ERR FLAG RESET","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test42_error_flag_set_reset.uxm; tests/test43_error_macro_helpers.uxm"
"15","ERR FLAG READ","VAR","YOK","VAR","VAR","3/4","PARTIAL","tests/test42_error_flag_set_reset.uxm; tests/test43_error_macro_helpers.uxm"
"16","Reserved/User/Planned","YOK","YOK","VAR","YOK","1/4","PARTIAL","tests_matrix/test_matrix01_init_set_print.uxm; tests_matrix/test_matrix02_add_2x2.uxm; tests_matrix/test_matrix03_mul_2x2.uxm; tests_matrix/test_matrix04_identity_trace_det2.uxm; tests_matrix/_tmp_det_debug.uxm"
"17","Reserved/User/Planned","YOK","YOK","VAR","YOK","1/4","PARTIAL","tests_matrix/test_matrix03_mul_2x2.uxm; tests_matrix/test_matrix04_identity_trace_det2.uxm; tests_matrix/_tmp_det_debug.uxm"
"18","Reserved/User/Planned","YOK","YOK","VAR","YOK","1/4","PARTIAL","tests/test16_data_digit.uxm"
"19","Reserved/User/Planned","YOK","YOK","YOK","YOK","0/4","NONE",""
"20","ADD","VAR","VAR","VAR","VAR","4/4","FULL","tests/test05_meta_add.uxm; tests/test12_signed_mode.uxm; tests/test30_word_mode_add.uxm; tests/test40_4bit_cpu_alu_model.uxm; tests/test41_4_neuron_nn_model.uxm"
"21","SUB","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm; tests_fp/test_fp06_add_dec_string.uxm"
"22","MUL","VAR","VAR","VAR","VAR","4/4","FULL","tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm; tests_fp/test_fp05_from_string.uxm"
"23","DIV","VAR","VAR","VAR","VAR","4/4","FULL","tests/test09_div_mod.uxm; tests/test13_status_div_zero.uxm"
"24","MOD","VAR","VAR","VAR","VAR","4/4","FULL","tests/test09_div_mod.uxm; math_extensions/tests_math/test_math01_poly_deriv_arge.uxm; math_extensions/tests_math/test_math02_poly_integral_arge.uxm; math_extensions/tests_math/test_math03_poly_eval_arge.uxm"
"25","MIN","VAR","YOK","VAR","VAR","3/4","PARTIAL","math_extensions/tests_math/test_math04_expr_rpn_eval.uxm; math_extensions/tests_math/test_math05_num_deriv.uxm; math_extensions/tests_math/test_math06_integral_trap.uxm; math_extensions/tests_math/test_math07_integral_simpson.uxm"
"26","MAX","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
"27","ABS","VAR","YOK","VAR","VAR","3/4","PARTIAL",""
